detail_id,order_id,product_id,quantity,unit_price,discount_pct,selling_price,unit_cost,line_total_revenue,line_total_cost
DTL0000001,ORD0000001,CLT0168,1,460,10,414.0,220,414.0,220
DTL0000002,ORD0000001,CLT0248,1,210,25,157.5,100,157.5,100
DTL0000003,ORD0000001,CLT0198,1,240,0,240.0,110,240.0,110
DTL0000004,ORD0000001,CLT0167,1,450,0,450.0,220,450.0,220
DTL0000005,ORD0000002,CLT0157,2,830,0,830.0,410,1660.0,820
DTL0000006,ORD0000002,CLT0123,2,200,10,180.0,100,360.0,200
DTL0000007,ORD0000003,CLT0292,1,430,25,322.5,210,322.5,210
DTL0000008,ORD0000004,CLT0078,1,300,0,300.0,150,300.0,150
DTL0000009,ORD0000004,CLT0258,1,240,15,204.0,120,204.0,120
DTL0000010,ORD0000004,CLT0031,2,160,10,144.0,70,288.0,140
DTL0000011,ORD0000004,CLT0247,1,200,0,200.0,90,200.0,90
DTL0000012,ORD0000004,CLT0036,1,220,10,198.0,100,198.0,100
DTL0000013,ORD0000005,ELC0328,2,2000,0,2000.0,1600,4000.0,3200
DTL0000014,ORD0000005,CLT0115,1,210,0,210.0,100,210.0,100
DTL0000015,ORD0000005,ELC0314,1,5600,5,5320.0,4500,5320.0,4500
DTL0000016,ORD0000006,CLT0230,1,360,20,288.0,180,288.0,180
DTL0000017,ORD0000007,ELC0326,3,8000,10,7200.0,6400,21600.0,19200
DTL0000018,ORD0000007,ELC0309,1,8900,10,8010.0,7100,8010.0,7100
DTL0000019,ORD0000008,CLT0131,2,330,20,264.0,160,528.0,320
DTL0000020,ORD0000008,CLT0306,3,130,0,130.0,60,390.0,180
DTL0000021,ORD0000008,CLT0207,3,240,15,204.0,110,612.0,330
DTL0000022,ORD0000008,CLT0016,2,90,0,90.0,40,180.0,80
DTL0000023,ORD0000009,CLT0231,2,340,5,323.0,160,646.0,320
DTL0000024,ORD0000009,CLT0207,2,240,20,192.0,110,384.0,220
DTL0000025,ORD0000009,CLT0226,4,140,10,126.0,70,504.0,280
DTL0000026,ORD0000009,CLT0234,1,340,10,306.0,170,306.0,170
DTL0000027,ORD0000010,CLT0221,1,100,15,85.0,40,85.0,40
DTL0000028,ORD0000011,CLT0072,1,320,0,320.0,150,320.0,150
DTL0000029,ORD0000011,CLT0199,2,270,5,256.5,130,513.0,260
DTL0000030,ORD0000011,CLT0061,1,160,0,160.0,80,160.0,80
DTL0000031,ORD0000011,CLT0029,1,160,0,160.0,70,160.0,70
DTL0000032,ORD0000011,CLT0121,2,210,10,189.0,100,378.0,200
DTL0000033,ORD0000012,CLT0187,4,590,0,590.0,290,2360.0,1160
DTL0000034,ORD0000013,CLT0268,1,250,5,237.5,120,237.5,120
DTL0000035,ORD0000013,CLT0166,2,460,10,414.0,230,828.0,460
DTL0000036,ORD0000014,CLT0005,3,90,20,72.0,40,216.0,120
DTL0000037,ORD0000014,CLT0014,1,80,20,64.0,40,64.0,40
DTL0000038,ORD0000014,CLT0297,4,130,10,117.0,60,468.0,240
DTL0000039,ORD0000014,ELC0319,2,12200,25,9150.0,9800,18300.0,19600
DTL0000040,ORD0000015,CLT0015,1,90,15,76.5,40,76.5,40
DTL0000041,ORD0000016,CLT0165,1,440,5,418.0,220,418.0,220
DTL0000042,ORD0000017,ELC0326,1,8000,0,8000.0,6400,8000.0,6400
DTL0000043,ORD0000017,CLT0228,1,300,5,285.0,140,285.0,140
DTL0000044,ORD0000018,CLT0236,2,350,10,315.0,170,630.0,340
DTL0000045,ORD0000019,CLT0289,3,480,10,432.0,230,1296.0,690
DTL0000046,ORD0000019,CLT0125,3,350,0,350.0,170,1050.0,510
DTL0000047,ORD0000020,CLT0037,2,220,20,176.0,100,352.0,200
DTL0000048,ORD0000020,CLT0080,1,280,20,224.0,140,224.0,140
DTL0000049,ORD0000021,CLT0272,3,160,0,160.0,70,480.0,210
DTL0000050,ORD0000022,CLT0094,1,300,0,300.0,140,300.0,140
DTL0000051,ORD0000022,CLT0109,2,140,10,126.0,70,252.0,140
DTL0000052,ORD0000023,CLT0289,1,480,25,360.0,230,360.0,230
DTL0000053,ORD0000023,CLT0308,1,140,0,140.0,60,140.0,60
DTL0000054,ORD0000024,CLT0223,1,100,0,100.0,40,100.0,40
DTL0000055,ORD0000024,CLT0307,3,130,15,110.5,60,331.5,180
DTL0000056,ORD0000025,CLT0022,2,150,0,150.0,70,300.0,140
DTL0000057,ORD0000025,CLT0258,3,240,30,168.0,120,504.0,360
DTL0000058,ORD0000026,CLT0266,2,270,10,243.0,130,486.0,260
DTL0000059,ORD0000026,CLT0299,2,130,0,130.0,60,260.0,120
DTL0000060,ORD0000027,CLT0039,1,210,0,210.0,100,210.0,100
DTL0000061,ORD0000028,CLT0028,2,150,10,135.0,70,270.0,140
DTL0000062,ORD0000028,CLT0135,2,360,5,342.0,170,684.0,340
DTL0000063,ORD0000029,CLT0008,2,90,0,90.0,40,180.0,80
DTL0000064,ORD0000030,CLT0191,1,740,5,703.0,370,703.0,370
DTL0000065,ORD0000030,CLT0130,1,360,5,342.0,170,342.0,170
DTL0000066,ORD0000030,CLT0262,1,260,20,208.0,130,208.0,130
DTL0000067,ORD0000030,CLT0235,3,360,0,360.0,180,1080.0,540
DTL0000068,ORD0000031,CLT0185,3,610,20,488.0,300,1464.0,900
DTL0000069,ORD0000031,CLT0006,2,80,10,72.0,40,144.0,80
DTL0000070,ORD0000031,CLT0050,3,160,0,160.0,70,480.0,210
DTL0000071,ORD0000031,CLT0071,1,300,0,300.0,140,300.0,140
DTL0000072,ORD0000032,CLT0185,2,610,5,579.5,300,1159.0,600
DTL0000073,ORD0000032,ELC0330,1,7000,20,5600.0,5600,5600.0,5600
DTL0000074,ORD0000032,CLT0191,1,740,15,629.0,370,629.0,370
DTL0000075,ORD0000033,CLT0078,3,300,15,255.0,150,765.0,450
DTL0000076,ORD0000034,CLT0199,1,270,0,270.0,130,270.0,130
DTL0000077,ORD0000034,CLT0010,1,90,15,76.5,40,76.5,40
DTL0000078,ORD0000034,CLT0304,1,140,20,112.0,60,112.0,60
DTL0000079,ORD0000035,ELC0324,2,6100,0,6100.0,4900,12200.0,9800
DTL0000080,ORD0000036,CLT0113,4,200,15,170.0,100,680.0,400
DTL0000081,ORD0000037,CLT0007,1,90,0,90.0,40,90.0,40
DTL0000082,ORD0000037,CLT0107,1,150,20,120.0,70,120.0,70
DTL0000083,ORD0000038,CLT0283,2,440,25,330.0,220,660.0,440
DTL0000084,ORD0000038,CLT0202,3,240,0,240.0,120,720.0,360
DTL0000085,ORD0000038,CLT0212,1,560,0,560.0,280,560.0,280
DTL0000086,ORD0000038,CLT0273,2,160,10,144.0,70,288.0,140
DTL0000087,ORD0000038,CLT0018,3,150,10,135.0,70,405.0,210
DTL0000088,ORD0000039,CLT0139,1,360,0,360.0,170,360.0,170
DTL0000089,ORD0000039,CLT0114,2,190,25,142.5,90,285.0,180
DTL0000090,ORD0000039,CLT0279,1,160,25,120.0,70,120.0,70
DTL0000091,ORD0000039,CLT0171,2,470,0,470.0,230,940.0,460
DTL0000092,ORD0000040,CLT0306,2,130,0,130.0,60,260.0,120
DTL0000093,ORD0000040,ELC0337,1,800,0,800.0,600,800.0,600
DTL0000094,ORD0000041,CLT0186,3,630,0,630.0,310,1890.0,930
DTL0000095,ORD0000041,CLT0149,1,520,15,442.0,260,442.0,260
DTL0000096,ORD0000042,ELC0318,3,10100,10,9090.0,8100,27270.0,24300
DTL0000097,ORD0000043,CLT0053,1,170,5,161.5,80,161.5,80
DTL0000098,ORD0000043,CLT0220,1,540,15,459.0,270,459.0,270
DTL0000099,ORD0000043,CLT0093,2,290,0,290.0,140,580.0,280
DTL0000100,ORD0000044,CLT0172,4,430,10,387.0,210,1548.0,840
DTL0000101,ORD0000044,CLT0276,2,150,0,150.0,70,300.0,140
DTL0000102,ORD0000045,CLT0056,4,160,20,128.0,80,512.0,320
DTL0000103,ORD0000046,CLT0099,2,150,0,150.0,70,300.0,140
DTL0000104,ORD0000046,CLT0229,2,330,15,280.5,160,561.0,320
DTL0000105,ORD0000046,CLT0088,1,290,15,246.5,140,246.5,140
DTL0000106,ORD0000047,CLT0268,4,250,25,187.5,120,750.0,480
DTL0000107,ORD0000048,CLT0156,1,850,0,850.0,420,850.0,420
DTL0000108,ORD0000048,CLT0008,1,90,20,72.0,40,72.0,40
DTL0000109,ORD0000049,CLT0175,1,480,10,432.0,230,432.0,230
DTL0000110,ORD0000050,CLT0064,1,180,0,180.0,80,180.0,80
DTL0000111,ORD0000051,CLT0067,1,310,5,294.5,150,294.5,150
DTL0000112,ORD0000052,ELC0333,2,1000,0,1000.0,800,2000.0,1600
DTL0000113,ORD0000053,CLT0196,1,730,25,547.5,360,547.5,360
DTL0000114,ORD0000053,ELC0314,1,5600,10,5040.0,4500,5040.0,4500
DTL0000115,ORD0000053,CLT0049,1,180,0,180.0,80,180.0,80
DTL0000116,ORD0000054,ELC0323,1,11200,0,11200.0,8900,11200.0,8900
DTL0000117,ORD0000055,CLT0177,1,630,10,567.0,310,567.0,310
DTL0000118,ORD0000055,CLT0053,2,170,0,170.0,80,340.0,160
DTL0000119,ORD0000055,CLT0160,1,800,0,800.0,390,800.0,390
DTL0000120,ORD0000055,CLT0299,1,130,0,130.0,60,130.0,60
DTL0000121,ORD0000055,CLT0184,1,620,25,465.0,300,465.0,300
DTL0000122,ORD0000056,CLT0267,1,240,0,240.0,120,240.0,120
DTL0000123,ORD0000057,CLT0012,3,90,10,81.0,40,243.0,120
DTL0000124,ORD0000058,CLT0012,2,90,0,90.0,40,180.0,80
DTL0000125,ORD0000059,CLT0263,1,240,0,240.0,120,240.0,120
DTL0000126,ORD0000059,CLT0246,1,190,10,171.0,90,171.0,90
DTL0000127,ORD0000060,CLT0166,1,460,0,460.0,230,460.0,230
DTL0000128,ORD0000060,CLT0031,3,160,5,152.0,70,456.0,210
DTL0000129,ORD0000061,CLT0215,2,540,10,486.0,260,972.0,520
DTL0000130,ORD0000062,CLT0289,1,480,10,432.0,230,432.0,230
DTL0000131,ORD0000062,CLT0240,1,360,10,324.0,170,324.0,170
DTL0000132,ORD0000062,CLT0098,1,140,0,140.0,70,140.0,70
DTL0000133,ORD0000062,CLT0157,1,830,0,830.0,410,830.0,410
DTL0000134,ORD0000062,CLT0190,1,690,0,690.0,340,690.0,340
DTL0000135,ORD0000063,CLT0125,1,350,20,280.0,170,280.0,170
