order_id,order_date,date_id,customer_id,store_id,employee_id,payment_method,order_status,total_revenue,total_cost
ORD0003830,2022-01-01,20220101,CUS01700,4,EMP0089,Debit Card,Completed,840.0,460.0
ORD0001773,2022-01-01,20220101,CUS01029,2,EMP0047,Debit Card,Completed,1332.0,740.0
ORD0011987,2022-01-01,20220101,CUS02153,11,EMP0173,Debit Card,Completed,520.0,260.0
ORD0009735,2022-01-01,20220101,CUS00424,2,EMP0043,Cash,Completed,344.0,210.0
ORD0007544,2022-01-01,20220101,CUS01849,10,EMP0160,Vodafone Cash,Completed,1408.0,740.0
ORD0003270,2022-01-01,20220101,CUS02303,7,EMP0128,Fawry,Completed,324.0,170.0
ORD0010894,2022-01-01,20220101,CUS01418,14,EMP0197,Vodafone Cash,Completed,828.5,420.0
ORD0003885,2022-01-01,20220101,CUS01590,14,EMP0194,InstaPay,Returned,2101.5,1080.0
ORD0009843,2022-01-01,20220101,CUS01268,4,EMP0082,  Fawry  ,Completed,1514.0,740.0
ORD0001947,2022-01-01,20220101,CUS02308,6,EMP0115,InstaPay,Completed,12945.5,12110.0
ORD0007370,2022-01-01,20220101,CUS01745,6,EMP0116,  Debit Card  ,Completed,1112.5,610.0
ORD0005761,2022-01-02,20220102,CUS02600,1,EMP0017,Debit Card,Completed,459.0,260.0
ORD0003284,2022-01-02,20220102,CUS02060,9,EMP0148,  Credit Card  ,Completed,108.0,60.0
ORD0009709,2022-01-02,20220102,CUS00704,4,EMP0083,Vodafone Cash,Completed,980.0,570.0
ORD0010942,2022-01-02,20220102,CUS00611,3,EMP0055,Debit Card,Completed,150.0,70.0
ORD0003412,2022-01-02,20220102,CUS00162,3,EMP0063,Vodafone Cash,Completed,1187.5,630.0
ORD0004900,2022-01-02,20220102,CUS02322,12,EMP0179,  Debit Card  ,Completed,1046.0,530.0
ORD0004801,2022-01-02,20220102,CUS00312,1,EMP0006,  Debit Card  ,Completed,1008.0,550.0
ORD0004599,2022-01-02,20220102,CUS01963,15,EMP0208,  InstaPay  ,Completed,1720.0,820.0
ORD0009755,2022-01-02,20220102,CUS00200,7,,Credit Card,Completed,960.5,560.0
ORD0002349,2022-01-02,20220102,CUS01585,4,EMP0091,  Fawry  ,Completed,1653.0,820.0
ORD0005584,2022-01-02,20220102,CUS02863,2,EMP0040,Cash,Completed,1620.0,870.0
ORD0006462,2022-01-02,20220102,CUS01886,1,EMP0001,Debit Card,Completed,720.0,360.0
ORD0004872,2022-01-02,20220102,CUS02790,1,EMP0025,Fawry,Completed,10040.0,9440.0
ORD0007354,2022-01-02,20220102,CUS02723,11,EMP0165,Cash,Completed,1745.0,930.0
ORD0003556,2022-01-02,20220102,CUS00337,9,EMP0148,Fawry,Cancelled,150.0,70.0
ORD0007514,2022-01-03,20220103,CUS00158,4,EMP0090,Debit Card,Completed,984.0,490.0
ORD0011781,2022-01-03,20220103,CUS01931,13,EMP0188,Cash,Completed,882.0,680.0
ORD0007012,2022-01-03,20220103,CUS01388,9,EMP0146,InstaPay,Returned,270.0,130.0
ORD0002990,2022-01-03,20220103,CUS00970,11,EMP0168,  InstaPay  ,Completed,17420.0,18100.0
ORD0009779,2022-01-03,20220103,CUS00024,10,EMP0155,Vodafone Cash,Completed,1496.0,880.0
ORD0007898,2022-01-03,20220103,CUS01384,2,EMP0029,Fawry,Completed,620.5,360.0
ORD0006630,2022-01-03,20220103,CUS02931,3,EMP0075,Credit Card,Completed,1705.0,840.0
ORD0002527,2022-01-03,20220103,CUS00863,7,EMP0128,Credit Card,Returned,140.0,70.0
ORD0011599,2022-01-03,20220103,CUS01797,4,EMP0092,Debit Card,Completed,1000.0,480.0
ORD0008200,2022-01-03,20220103,CUS00763,14,EMP0200,Fawry,Completed,250.0,120.0
ORD0008133,2022-01-03,20220103,CUS00287,3,EMP0061,Credit Card,Completed,400.0,180.0
ORD0006331,2022-01-03,20220103,CUS00926,8,EMP0138,Debit Card,Completed,144.0,80.0
ORD0011920,2022-01-03,20220103,CUS01445,5,EMP0099,Fawry,Completed,1879.0,1150.0
ORD0007389,2022-01-04,20220104,CUS01796,12,EMP0179,Vodafone Cash,Completed,1912.5,1260.0
ORD0005911,2022-01-04,20220104,CUS02048,9,EMP0148,  Fawry  ,Completed,126.0,70.0
ORD0003572,2022-01-04,20220104,CUS02975,1,EMP0008,Cash,Completed,867.0,500.0
ORD0003245,2022-01-04,20220104,CUS00890,10,EMP0153,Credit Card,Completed,126.0,70.0
ORD0008639,2022-01-04,20220104,CUS02459,5,EMP0097,Fawry,Returned,2438.5,1370.0
ORD0000613,2022-01-04,20220104,CUS01480,3,EMP0056,Cash,Completed,180.0,120.0
ORD0003217,2022-01-04,20220104,CUS01847,2,EMP0050,Cash,Completed,480.0,230.0
ORD0009497,2022-01-04,20220104,CUS01201,7,EMP0131,Credit Card,Completed,144.0,70.0
ORD0001547,2022-01-04,20220104,CUS01211,1,EMP0014,  Credit Card  ,Completed,364.0,240.0
ORD0011181,2022-01-04,20220104,CUS02923,1,EMP0007,Cash,Completed,3545.0,1760.0
ORD0008695,2022-01-04,20220104,CUS02351,2,EMP0048,Fawry,Returned,669.0,350.0
ORD0005622,2022-01-04,20220104,CUS00922,2,EMP0036,Fawry,Completed,32539.0,27040.0
ORD0005698,2022-01-04,20220104,CUS02083,6,EMP0123,Debit Card,Returned,522.0,290.0
ORD0010585,2022-01-04,20220104,CUS01845,3,EMP0060,Cash,Completed,3961.0,1970.0
ORD0008959,2022-01-05,20220105,CUS00118,5,EMP0103,InstaPay,Completed,1434.0,740.0
ORD0004075,2022-01-05,20220105,CUS02268,5,EMP0098,  Fawry  ,Completed,25450.0,24700.0
ORD0005996,2022-01-05,20220105,CUS02966,5,EMP0101,Vodafone Cash,Completed,442.0,250.0
ORD0008933,2022-01-05,20220105,CUS00282,1,EMP0005,Cash,Completed,16097.0,13210.0
ORD0009180,2022-01-05,20220105,CUS01953,1,EMP0010,Cash,Completed,8122.5,6890.0
ORD0004337,2022-01-05,20220105,CUS01321,1,EMP0021,InstaPay,Completed,378.0,210.0
ORD0007407,2022-01-05,20220105,CUS00761,3,EMP0056,  InstaPay  ,Completed,180.0,100.0
ORD0009048,2022-01-05,20220105,CUS02462,15,EMP0212,InstaPay,Returned,1696.0,890.0
ORD0001409,2022-01-05,20220105,CUS00053,3,EMP0073,Fawry,Completed,35640.0,31500.0
ORD0006533,2022-01-05,20220105,CUS02993,3,EMP0073,  InstaPay  ,Completed,482.5,260.0
ORD0004558,2022-01-05,20220105,CUS02352,5,EMP0111,Credit Card,Completed,135.0,70.0
ORD0006990,2022-01-05,20220105,CUS00896,11,EMP0164,Vodafone Cash,Completed,1125.0,590.0
ORD0011981,2022-01-05,20220105,CUS02416,2,EMP0051,  Cash  ,Completed,28594.0,30160.0
ORD0002793,2022-01-05,20220105,CUS02389,14,EMP0197,InstaPay,Cancelled,8160.0,8000.0
ORD0005004,2022-01-06,20220106,CUS01392,13,EMP0190,Fawry,Completed,747.0,450.0
ORD0008997,2022-01-06,20220106,CUS02796,12,EMP0177,Credit Card,Completed,480.0,300.0
ORD0005212,2022-01-06,20220106,CUS00312,10,EMP0156,  Fawry  ,Completed,5738.0,4610.0
ORD0005132,2022-01-06,20220106,CUS02109,6,EMP0123,Vodafone Cash,Completed,510.0,280.0
ORD0009384,2022-01-06,20220106,CUS00027,5,EMP0095,InstaPay,Completed,170.0,80.0
ORD0011794,2022-01-06,20220106,CUS00894,8,EMP0143,InstaPay,Completed,253.5,140.0
ORD0001834,2022-01-06,20220106,CUS02698,2,EMP0042,  InstaPay  ,Completed,1048.0,630.0
ORD0011552,2022-01-06,20220106,CUS02399,1,EMP0010,Debit Card,Completed,150.0,70.0
ORD0009837,2022-01-07,20220107,CUS00485,13,,Vodafone Cash,Completed,935.0,560.0
ORD0011401,2022-01-07,20220107,CUS01289,1,EMP0017,Credit Card,Completed,1472.5,700.0
ORD0006381,2022-01-07,20220107,CUS02538,1,EMP0006,InstaPay,Completed,280.0,140.0
ORD0007846,2022-01-07,20220107,CUS01069,12,EMP0184,Vodafone Cash,Completed,1740.0,870.0
ORD0000234,2022-01-07,20220107,CUS02362,1,EMP0026,InstaPay,Completed,15134.0,12020.0
ORD0001923,2022-01-07,20220107,CUS02280,6,EMP0124,Debit Card,Returned,2199.5,1110.0
ORD0007912,2022-01-07,20220107,CUS00133,7,,Debit Card,Completed,3210.5,1610.0
ORD0003882,2022-01-07,20220107,CUS01458,2,EMP0051,Debit Card,Completed,320.0,140.0
ORD0011170,2022-01-08,20220108,CUS01226,3,EMP0070,Cash,Completed,1620.0,810.0
ORD0008414,2022-01-08,20220108,CUS01391,1,EMP0028,Cash,Completed,458.0,260.0
ORD0004736,2022-01-08,20220108,CUS00681,7,EMP0128,  InstaPay  ,Completed,234.0,130.0
ORD0009892,2022-01-08,20220108,CUS02128,5,EMP0097,InstaPay,Completed,750.0,480.0
ORD0006138,2022-01-08,20220108,CUS00831,3,EMP0055,Vodafone Cash,Completed,14230.0,12690.0
ORD0000568,2022-01-08,20220108,CUS00421,7,EMP0135,  Cash  ,Completed,2236.5,1140.0
ORD0003796,2022-01-08,20220108,CUS01402,3,EMP0077,Vodafone Cash,Completed,336.0,210.0
ORD0011913,2022-01-08,20220108,CUS00640,9,EMP0147,  Credit Card  ,Completed,333.0,180.0
ORD0001218,2022-01-08,20220108,CUS02028,5,EMP0112,Debit Card,Completed,378.0,200.0
ORD0003840,2022-01-08,20220108,CUS01966,14,EMP0195,InstaPay,Completed,126.0,70.0
ORD0009786,2022-01-09,20220109,CUS00671,11,EMP0165,InstaPay,Completed,1142.5,690.0
ORD0010092,2022-01-09,20220109,CUS01602,3,EMP0060,Vodafone Cash,Completed,1530.0,750.0
ORD0009742,2022-01-09,20220109,CUS00483,6,EMP0122,Cash,Completed,726.0,360.0
ORD0005699,2022-01-09,20220109,CUS02224,4,EMP0079,Vodafone Cash,Completed,277.5,180.0
ORD0006301,2022-01-09,20220109,CUS02704,2,EMP0037,Credit Card,Completed,1461.5,730.0
ORD0006700,2022-01-09,20220109,CUS00446,11,EMP0169,Cash,Completed,11090.0,8790.0
ORD0008986,2022-01-09,20220109,CUS00592,6,EMP0120,InstaPay,Completed,342.0,180.0
ORD0011525,2022-01-09,20220109,CUS02507,5,EMP0104,Vodafone Cash,Completed,662.5,370.0
ORD0001944,2022-01-09,20220109,CUS02423,3,EMP0074,Cash,Completed,260.0,130.0
ORD0011808,2022-01-09,20220109,CUS01630,11,EMP0164,Credit Card,Completed,837.0,450.0
ORD0007767,2022-01-09,20220109,CUS02662,6,EMP0118,Cash,Completed,320.0,140.0
ORD0004495,2022-01-10,20220110,CUS02848,12,EMP0182,Debit Card,Completed,611.0,310.0
ORD0010893,2022-01-10,20220110,CUS01447,3,EMP0077,  InstaPay  ,Completed,621.5,310.0
ORD0010588,2022-01-10,20220110,CUS02694,2,EMP0036,Debit Card,Completed,493.0,280.0
ORD0001710,2022-01-10,20220110,CUS01942,7,EMP0131,Vodafone Cash,Completed,1125.0,600.0
