order_id,order_date,date_id,customer_id,store_id,employee_id,payment_method,order_status,total_revenue,total_cost
ORD0002861,2024-01-01,20240101,CUS00888,4,EMP0079,Credit Card,Returned,5302.0,4310.0
ORD0006046,2024-01-01,20240101,CUS02416,1,EMP0009,InstaPay,Completed,740.0,360.0
ORD0002658,2024-01-01,20240101,CUS02527,12,EMP0175,Cash,Completed,1771.0,880.0
ORD0008080,2024-01-01,20240101,CUS00340,11,EMP0171,Cash,Completed,3485.0,2010.0
ORD0009278,2024-01-01,20240101,CUS00906,6,EMP0116,Debit Card,Completed,233.0,120.0
ORD0002226,2024-01-01,20240101,CUS00413,1,EMP0003,InstaPay,Completed,700.0,420.0
ORD0004221,2024-01-01,20240101,CUS01601,14,EMP0200,  Fawry  ,Completed,1401.0,740.0
ORD0010575,2024-01-01,20240101,CUS01815,5,EMP0112,InstaPay,Completed,81.0,40.0
ORD0007342,2024-01-01,20240101,CUS00211,6,EMP0116,InstaPay,Completed,6100.0,4900.0
ORD0005282,2024-01-01,20240101,CUS02410,15,EMP0215,Debit Card,Completed,1600.0,820.0
ORD0010236,2024-01-01,20240101,CUS02662,14,EMP0195,Vodafone Cash,Completed,270.0,120.0
ORD0006390,2024-01-01,20240101,CUS02651,5,EMP0108,Debit Card,Returned,980.0,530.0
ORD0002709,2024-01-01,20240101,CUS00542,7,EMP0136,InstaPay,Completed,38857.0,32220.0
ORD0000761,2024-01-02,20240102,CUS01226,1,EMP0006,Cash,Completed,1550.5,790.0
ORD0003933,2024-01-02,20240102,CUS01202,4,EMP0093,Cash,Completed,153.0,90.0
ORD0009895,2024-01-02,20240102,CUS01703,3,EMP0067,Debit Card,Returned,270.0,150.0
ORD0009548,2024-01-02,20240102,CUS00750,8,EMP0143,  Vodafone Cash  ,Completed,4712.0,2450.0
ORD0000288,2024-01-02,20240102,CUS00456,11,EMP0173,  Credit Card  ,Completed,90.0,40.0
ORD0005340,2024-01-02,20240102,CUS02563,10,EMP0152,Fawry,Completed,190.0,90.0
ORD0004108,2024-01-02,20240102,CUS02130,2,EMP0030,Vodafone Cash,Completed,629.0,360.0
ORD0009313,2024-01-02,20240102,CUS02353,3,EMP0070,Credit Card,Completed,2322.0,1340.0
ORD0001844,2024-01-02,20240102,CUS02609,1,EMP0012,  Cash  ,Completed,749.0,350.0
ORD0010525,2024-01-02,20240102,CUS01199,6,EMP0117,InstaPay,Completed,476.0,280.0
ORD0004372,2024-01-02,20240102,CUS00626,7,EMP0134,  InstaPay  ,Completed,20824.0,16420.0
ORD0006276,2024-01-02,20240102,CUS00282,3,EMP0059,  Credit Card  ,Completed,1000.0,500.0
ORD0010740,2024-01-02,20240102,CUS00709,12,,Debit Card,Completed,320.0,140.0
ORD0005052,2024-01-02,20240102,CUS00386,2,EMP0039,Debit Card,Completed,1863.0,1020.0
ORD0000328,2024-01-03,20240103,CUS01904,5,EMP0112,Vodafone Cash,Completed,2220.0,1100.0
ORD0009612,2024-01-03,20240103,CUS01961,1,EMP0014,Credit Card,Completed,616.0,320.0
ORD0000617,2024-01-03,20240103,CUS02928,6,EMP0115,InstaPay,Completed,1159.0,600.0
ORD0000059,2024-01-03,20240103,CUS02318,1,EMP0022,Vodafone Cash,Completed,411.0,210.0
ORD0006297,2024-01-03,20240103,CUS02038,12,EMP0184,Cash,Completed,1923.0,1030.0
ORD0003648,2024-01-03,20240103,CUS00941,13,EMP0187,Debit Card,Completed,630.0,310.0
ORD0004612,2024-01-03,20240103,CUS00678,2,EMP0029,Vodafone Cash,Completed,472.0,290.0
ORD0003961,2024-01-03,20240103,CUS00735,5,EMP0108,Debit Card,Completed,3094.0,1510.0
ORD0005003,2024-01-03,20240103,CUS02920,1,EMP0004,Debit Card,Returned,513.0,260.0
ORD0006981,2024-01-03,20240103,CUS02592,3,EMP0069,Vodafone Cash,Completed,270.0,170.0
ORD0004797,2024-01-03,20240103,CUS01716,14,EMP0198,Debit Card,Completed,1056.0,660.0
ORD0007556,2024-01-03,20240103,CUS02521,5,EMP0105,Cash,Cancelled,1894.0,1110.0
ORD0006034,2024-01-03,20240103,CUS02094,11,EMP0171,Cash,Completed,1340.0,650.0
ORD0008310,2024-01-03,20240103,CUS02713,1,EMP0009,Cash,Completed,982.0,490.0
ORD0005784,2024-01-03,20240103,CUS02758,7,EMP0130,Credit Card,Completed,2203.5,1200.0
ORD0002825,2024-01-04,20240104,CUS00564,2,EMP0047,Vodafone Cash,Completed,16266.0,15080.0
ORD0007388,2024-01-04,20240104,CUS01530,15,EMP0216,Fawry,Completed,17170.0,13610.0
ORD0009398,2024-01-04,20240104,CUS01777,2,EMP0032,Credit Card,Completed,683.5,360.0
ORD0008993,2024-01-04,20240104,CUS02012,14,EMP0202,Fawry,Returned,9938.0,8780.0
ORD0001497,2024-01-04,20240104,CUS01082,5,EMP0106,Vodafone Cash,Completed,893.0,570.0
ORD0002519,2024-01-04,20240104,CUS00367,1,EMP0013,Debit Card,Completed,357.0,210.0
ORD0010249,2024-01-04,20240104,CUS02121,6,EMP0126,Vodafone Cash,Completed,1220.0,590.0
ORD0010714,2024-01-04,20240104,CUS01735,1,EMP0003,Credit Card,Completed,960.0,440.0
ORD0005909,2024-01-04,20240104,CUS00754,5,EMP0098,InstaPay,Completed,432.0,210.0
ORD0006608,2024-01-04,20240104,CUS00079,5,EMP0111,Fawry,Completed,27030.0,25400.0
ORD0006901,2024-01-04,20240104,CUS01962,1,EMP0013,InstaPay,Completed,1261.5,670.0
ORD0003720,2024-01-04,20240104,CUS02981,3,EMP0063,Cash,Completed,90.0,40.0
ORD0001797,2024-01-04,20240104,CUS00831,2,EMP0052,  InstaPay  ,Completed,756.0,400.0
ORD0005244,2024-01-04,20240104,CUS00807,4,EMP0090,Vodafone Cash,Completed,434.5,250.0
ORD0008171,2024-01-05,20240105,CUS02684,12,EMP0174,InstaPay,Completed,13784.5,10800.0
ORD0001219,2024-01-05,20240105,CUS01689,8,EMP0143,Cash,Returned,627.0,320.0
ORD0006433,2024-01-05,20240105,CUS02972,8,EMP0138,Fawry,Returned,306.0,160.0
ORD0008401,2024-01-05,20240105,CUS01426,2,EMP0037,Cash,Completed,160.0,80.0
