return_id,order_id,return_date,return_reason,return_amount,refund_method,return_status
RET00001,ORD0000010,2022-05-23,Defective Product,85.0,Fawry,Refunded
RET00002,ORD0000017,2024-03-20,Duplicate Order,8285.0,InstaPay,Refunded
RET00003,ORD0000029,2023-07-08,Wrong Item Delivered,180.0,Vodafone Cash,Refunded
RET00004,ORD0000039,2022-08-28,Changed Mind,1705.0,Cash,Pending
RET00005,ORD0000052,2023-06-04,Changed Mind,2000.0,Cash,Refunded
RET00006,ORD0000053,2023-05-22,Defective Product,5767.5,Credit Card,Refunded
RET00007,ORD0000066,2022-12-18,Quality Issue,12330.0,Debit Card,Refunded
RET00008,ORD0000095,2024-06-07,Quality Issue,657.5,Vodafone Cash,Refunded
RET00009,ORD0000096,2024-10-10,Duplicate Order,200.0,InstaPay,Refunded
RET00010,ORD0000100,2022-07-08,Quality Issue,999.0,Vodafone Cash,Pending
RET00011,ORD0000116,2023-04-09,Quality Issue,10152.0,Debit Card,Pending
RET00012,ORD0000139,2024-04-08,Wrong Item Delivered,2880.0,Vodafone Cash,Refunded
RET00013,ORD0000140,2022-11-23,Wrong Item Delivered,212.5,Cash,Refunded
RET00014,ORD0000154,2022-12-16,Duplicate Order,1155.5,Cash,Pending
RET00015,ORD0000162,2024-02-25,Size Issue,629.0,Fawry,Refunded
RET00016,ORD0000163,2024-07-20,Defective Product,1366.0,Vodafone Cash,Refunded
RET00017,ORD0000164,2023-03-26,Wrong Item Delivered,304.0,Vodafone Cash,Refunded
RET00018,ORD0000170,2023-01-03,Changed Mind,994.0,Cash,Refunded
RET00019,ORD0000174,2022-05-01,Changed Mind,540.0,Fawry,Refunded
RET00020,ORD0000183,2022-03-31,Changed Mind,275.0,Debit Card,Refunded
RET00021,ORD0000186,2024-06-06,Wrong Item Delivered,217.5,InstaPay,Refunded
RET00022,ORD0000189,2022-11-14,Changed Mind,2305.5,Credit Card,Refunded
RET00023,ORD0000197,2023-05-15,Wrong Item Delivered,504.0,Vodafone Cash,Refunded
RET00024,ORD0000200,2024-04-06,Wrong Item Delivered,1470.0,InstaPay,Pending
RET00025,ORD0000201,2023-02-23,Changed Mind,1323.0,Fawry,Refunded
RET00026,ORD0000207,2023-08-12,Duplicate Order,31326.5,Fawry,Refunded
RET00027,ORD0000215,2022-07-18,Duplicate Order,290.0,Fawry,Refunded
RET00028,ORD0000224,2022-12-03,Wrong Item Delivered,1306.5,Vodafone Cash,Refunded
RET00029,ORD0000231,2024-08-14,Defective Product,720.0,InstaPay,Refunded
RET00030,ORD0000233,2024-01-27,Size Issue,616.0,Fawry,Refunded
RET00031,ORD0000241,2022-02-17,Wrong Item Delivered,410.0,Cash,Refunded
RET00032,ORD0000251,2022-11-11,Size Issue,5357.5,Credit Card,Pending
RET00033,ORD0000263,2023-10-17,Size Issue,981.0,Fawry,Refunded
RET00034,ORD0000278,2024-06-09,Size Issue,500.0,Fawry,Pending
RET00035,ORD0000299,2024-07-07,Duplicate Order,865.0,Debit Card,Rejected
RET00036,ORD0000310,2022-05-27,Size Issue,37840.0,Vodafone Cash,Refunded
RET00037,ORD0000317,2023-08-22,Changed Mind,5310.0,Vodafone Cash,Rejected
RET00038,ORD0000329,2024-10-31,Size Issue,784.0,Vodafone Cash,Refunded
RET00039,ORD0000335,2024-03-22,Quality Issue,447.0,Vodafone Cash,Refunded
RET00040,ORD0000336,2022-07-22,Wrong Item Delivered,2135.0,Debit Card,Pending
RET00041,ORD0000344,2024-05-21,Quality Issue,6000.0,InstaPay,Refunded
RET00042,ORD0000349,2022-11-19,Quality Issue,1095.0,Fawry,Pending
RET00043,ORD0000361,2022-12-07,Duplicate Order,2326.5,Credit Card,Refunded
RET00044,ORD0000367,2023-08-22,Defective Product,1065.0,Vodafone Cash,Refunded
RET00045,ORD0000378,2023-11-29,Defective Product,972.0,Cash,Refunded
RET00046,ORD0000382,2023-08-27,Size Issue,750.0,Vodafone Cash,Refunded
RET00047,ORD0000394,2023-07-05,Quality Issue,1458.0,InstaPay,Refunded
RET00048,ORD0000405,2024-11-26,Changed Mind,742.5,Vodafone Cash,Refunded
RET00049,ORD0000410,2022-03-03,Wrong Item Delivered,33952.5,Fawry,Refunded
RET00050,ORD0000411,2023-10-01,Defective Product,1664.0,Fawry,Refunded
RET00051,ORD0000412,2022-06-23,Size Issue,895.0,Credit Card,Refunded
RET00052,ORD0000417,2022-12-17,Defective Product,952.0,InstaPay,Rejected
RET00053,ORD0000444,2024-08-23,Changed Mind,150.0,Fawry,Refunded
RET00054,ORD0000454,2022-06-15,Changed Mind,1230.0,InstaPay,Refunded
RET00055,ORD0000463,2022-01-27,Duplicate Order,570.0,InstaPay,Refunded
RET00056,ORD0000501,2022-09-24,Duplicate Order,1992.0,Cash,Rejected
RET00057,ORD0000506,2023-08-15,Duplicate Order,10738.0,Vodafone Cash,Refunded
RET00058,ORD0000512,2023-01-03,Wrong Item Delivered,2059.0,Cash,Pending
RET00059,ORD0000514,2022-02-16,Quality Issue,54634.0,InstaPay,Refunded
RET00060,ORD0000518,2024-12-06,Defective Product,12800.0,Credit Card,Refunded
RET00061,ORD0000523,2022-02-11,Duplicate Order,2692.0,Fawry,Refunded
RET00062,ORD0000550,2023-01-09,Wrong Item Delivered,12420.0,InstaPay,Pending
RET00063,ORD0000555,2024-11-11,Defective Product,1114.5,Cash,Refunded
RET00064,ORD0000559,2024-03-17,Wrong Item Delivered,525.5,Vodafone Cash,Refunded
RET00065,ORD0000566,2022-04-26,Quality Issue,2090.0,Credit Card,Refunded
RET00066,ORD0000573,2024-07-18,Duplicate Order,280.0,InstaPay,Refunded
RET00067,ORD0000595,2024-01-24,Defective Product,816.0,Credit Card,Pending
RET00068,ORD0000602,2023-12-18,Size Issue,584.0,Vodafone Cash,Refunded
RET00069,ORD0000643,2022-05-22,Duplicate Order,24649.0,Vodafone Cash,Refunded
RET00070,ORD0000664,2023-07-27,Duplicate Order,1860.0,Debit Card,Refunded
RET00071,ORD0000669,2022-05-16,Duplicate Order,80.0,Debit Card,Refunded
